,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Chokurdakh,RU,2021-01-10 19:51:52,70.6333,147.9167,-30.75,85,99,8.46
1,Hilo,US,2021-01-10 19:50:35,19.7297,-155.09,75.2,60,1,8.05
2,Nikolskoye,RU,2021-01-10 19:51:52,59.7035,30.7861,6.01,85,100,6.71
3,Ancud,CL,2021-01-10 19:51:52,-41.8697,-73.8203,61.0,50,75,13.8
4,Cururupu,BR,2021-01-10 19:51:52,-1.8283,-44.8683,80.55,79,51,5.59
5,Busselton,AU,2021-01-10 19:51:52,-33.65,115.3333,57.0,91,3,11.12
6,Esperance,AU,2021-01-10 19:51:52,-33.8667,121.9,59.0,77,40,6.91
7,Port Alfred,ZA,2021-01-10 19:51:53,-33.5906,26.891,66.99,84,99,12.12
8,Xining,CN,2021-01-10 19:51:53,36.6167,101.7667,0.79,77,24,3.6
9,Key West,US,2021-01-10 19:51:19,24.5557,-81.7826,64.4,68,40,12.66
10,Arlit,NE,2021-01-10 19:51:53,18.7369,7.3853,79.02,15,0,8.81
11,Meulaboh,ID,2021-01-10 19:51:53,4.1363,96.1285,74.98,89,100,2.66
12,Kavieng,PG,2021-01-10 19:51:53,-2.5744,150.7967,81.72,76,99,3.89
13,Watertown,US,2021-01-10 19:51:45,42.3709,-71.1828,42.01,36,75,9.22
14,Baykal'sk,RU,2021-01-10 19:51:53,51.5058,104.1469,17.38,81,100,5.77
15,Cabo San Lucas,MX,2021-01-10 19:51:53,22.8909,-109.9124,75.99,49,1,6.91
16,Rikitea,PF,2021-01-10 19:51:53,-23.1203,-134.9692,78.01,77,74,14.58
17,Vaini,TO,2021-01-10 19:51:53,-21.2,-175.2,80.6,89,75,6.91
18,Atuona,PF,2021-01-10 19:51:54,-9.8,-139.0333,77.99,79,100,17.29
19,Lindsay,US,2021-01-10 19:51:54,36.203,-119.0882,55.0,66,1,4.43
20,Aykhal,RU,2021-01-10 19:51:54,66.0,111.5,-33.14,81,100,5.39
21,Jamestown,US,2021-01-10 19:44:26,42.097,-79.2353,36.0,69,1,6.91
22,Lakes Entrance,AU,2021-01-10 19:51:54,-37.8811,147.981,63.0,94,97,5.95
23,Kapaa,US,2021-01-10 19:51:54,22.0752,-159.319,71.6,94,40,3.44
24,Carnarvon,AU,2021-01-10 19:51:54,-24.8667,113.6333,75.2,78,0,20.71
25,General Pico,AR,2021-01-10 19:51:06,-35.6566,-63.7568,100.8,15,21,16.6
26,China,MX,2021-01-10 19:51:54,25.7,-99.2333,64.33,60,61,21.85
27,Nogliki,RU,2021-01-10 19:51:54,51.8333,143.1667,-11.87,85,95,9.93
28,Inverell,AU,2021-01-10 19:51:55,-29.7833,151.1167,55.99,94,0,4.23
29,Punta Arenas,CL,2021-01-10 19:50:47,-53.15,-70.9167,48.2,76,75,13.8
30,Lata,PT,2021-01-10 19:51:55,40.1629,-8.3327,46.0,65,20,2.3
31,Nevesinje,BA,2021-01-10 19:51:55,43.2586,18.1133,41.0,87,75,4.61
32,Çine,TR,2021-01-10 19:51:55,37.6117,28.0614,64.4,72,75,8.05
33,Ushuaia,AR,2021-01-10 19:51:21,-54.8,-68.3,46.4,81,75,25.32
34,Port Elizabeth,ZA,2021-01-10 19:51:55,-33.918,25.5701,66.2,77,90,8.05
35,Lüderitz,NA,2021-01-10 19:51:55,-26.6481,15.1594,71.01,60,18,25.5
36,Tasiilaq,GL,2021-01-10 19:51:55,65.6145,-37.6368,19.4,49,90,4.99
37,Tolaga Bay,NZ,2021-01-10 19:51:55,-38.3667,178.3,70.12,58,0,4.97
38,Albany,US,2021-01-10 19:51:50,42.6001,-73.9662,28.99,61,2,4.65
39,Ponta do Sol,PT,2021-01-10 19:51:55,32.6667,-17.1,53.01,65,42,5.01
40,‘Āhuimanu,US,2021-01-10 19:51:56,21.4447,-157.8378,77.0,73,75,12.66
41,Talnakh,RU,2021-01-10 19:51:56,69.4865,88.3972,-16.19,80,100,4.16
42,Uberaba,BR,2021-01-10 19:51:56,-19.7483,-47.9319,79.07,81,100,0.29
43,Batemans Bay,AU,2021-01-10 19:51:56,-35.7167,150.1833,61.0,97,60,1.01
44,Diego de Almagro,CL,2021-01-10 19:48:07,-26.3667,-70.05,82.96,16,0,14.05
45,Calama,CL,2021-01-10 19:47:21,-22.4667,-68.9333,77.0,16,0,27.63
46,Tiksi,RU,2021-01-10 19:51:56,71.6872,128.8694,-13.9,87,98,11.81
47,Mataura,NZ,2021-01-10 19:51:56,-46.1927,168.8643,55.99,72,60,11.99
